ServiceName,TimePeriod,Amount,Unit,Currency
Amazon EC2,2025-04-01/2025-04-30,1245.78,USD,ACTUAL
Amazon RDS,2025-04-01/2025-04-30,432.10,USD,ACTUAL
Amazon EKS,2025-04-01/2025-04-30,567.90,USD,ACTUAL
Amazon S3,2025-04-01/2025-04-30,87.34,USD,ACTUAL
AWS Lambda,2025-04-01/2025-04-30,12.45,USD,ACTUAL
Amazon CloudFront,2025-04-01/2025-04-30,34.22,USD,ACTUAL
Amazon ElastiCache,2025-04-01/2025-04-30,198.65,USD,ACTUAL
Amazon EC2,2025-03-01/2025-03-31,1100.20,USD,ACTUAL
Amazon RDS,2025-03-01/2025-03-31,398.50,USD,ACTUAL
Amazon EKS,2025-03-01/2025-03-31,512.40,USD,ACTUAL
Amazon S3,2025-03-01/2025-03-31,72.15,USD,ACTUAL
AWS Lambda,2025-03-01/2025-03-31,10.80,USD,ACTUAL
Amazon CloudFront,2025-03-01/2025-03-31,29.10,USD,ACTUAL
Amazon ElastiCache,2025-03-01/2025-03-31,180.00,USD,ACTUAL
